rank,feature_name,mean_abs_shap
1,country_recycle_rate,0.13187348693659276
2,green_behavior_score,0.04513976731673726
3,wealth_index,0.03907741502115875
4,env_importance,0.028009718120151125
5,age_group,0.015374528177850772
6,eco_purchase,0.01250978006418916
7,gender,0.010918775170018656
8,d3_edu,0.007821364221200972
9,area_type,0.0073709489742370205
10,occupation_group=manager,0.005067095187330042
11,household_size,0.004497771385875091
12,occupation_group=student,0.003608397031475089
13,occupation_group=not_working,0.00295875593145038
14,occupation_group=retired,0.002808442120460818
15,occupation_group=manual_worker,0.0010197136251811887
16,occupation_group=employee,0.0007456356474403724
17,occupation_group=self_employed,0.0006294517952453731
18,occupation_group=professional,0.00035906237882478794
